Event Name,Event Time,Status,External Url
How PROFESSIONAL SERVICES companies can achieve SALES VELOCITY,"Jul 14, 2021 03:00 PM - Jul 14, 2021 04:00 PM",RELINQUISHED,
Automated Accrual Financials,"May 29, 2024 06:00 PM - May 29, 2024 06:30 PM",APPROVED,
Live Webinar: Oracle HCM & ERP Cloud,"Sep 23, 2020 03:00 PM - Sep 23, 2020 04:00 PM",APPROVED,https://hexaware.com/event/adoption-of-new-features-in-oracle-cloud-with-automation/
GLOBAL GROWTH ACCELERATE CONFERENCE,"Dec 07, 2021 04:00 PM - Dec 10, 2021 01:00 AM",APPROVED,
Astor Perkins Quarterly Event (Free to Attend),"Oct 27, 2021 12:15 PM - Oct 27, 2021 07:00 PM",APPROVED,https://www.eventbrite.com/e/astor-perkins-quarterly-series-tickets-151677689051
Influential Storytelling: Virtual Workshop,"Sep 11, 2020 04:00 PM - Sep 11, 2020 08:30 PM",APPROVED,https://www.wolfandheron.com/events-for-the-public/influential-storytelling-11sept20
Extended Reality Approaches to Amplify Digital Transformation Capabilities,"Sep 30, 2020 03:00 PM - Sep 30, 2020 04:00 PM",APPROVED,https://hexaware.com/event/innovate-in-the-pandemic-era-to-accelerate-growth/
Product and Growth Summit 2021,"Sep 15, 2021 03:00 PM - Sep 17, 2021 03:00 AM",APPROVED,
Automation Tools for Implementation and Adoption of New Features in Oracle ,"Sep 23, 2020 03:00 PM - Sep 23, 2020 04:00 PM",APPROVED,https://register.gotowebinar.com/register/3976015874550301197
International Professional Development ,"Aug 28, 2023 02:30 PM - Aug 28, 2023 03:30 PM",RELINQUISHED,https://tutorchest.com/development
Brand Growth Summit 2022,"Mar 16, 2022 03:00 PM - Mar 16, 2022 11:00 PM",RELINQUISHED,https://bit.ly/3KLt09r
The Coming Email Implosion,"Jul 13, 2021 04:00 PM - Jul 13, 2021 05:00 PM",RELINQUISHED,https://us02web.zoom.us/j/83963730717?from=addon
"Astor Perkins Quarterly Series (April 9, 2021): All Things Space & Survival","Apr 09, 2021 12:45 PM - Apr 09, 2021 08:45 PM",APPROVED,https://www.eventbrite.com/e/astor-perkins-quarterly-series-april-9-2021-all-things-space-survival-tickets-125322550121
AI-Accelerated PM: Tools & Workflows to Stand Out,"Jun 10, 2025 04:00 PM - Jun 10, 2025 05:30 PM",APPROVED,
Ageless Epigenetics,"Apr 15, 2022 08:30 PM - Apr 15, 2022 09:30 PM",RELINQUISHED,https://us05web.zoom.us/j/5948916323?pwd=QzdPelJpZmtkMklYaTVybERIdjVrUT09
Unlock LinkedIn's Potential for Your Job Search,"Sep 26, 2024 06:00 PM - Sep 26, 2024 07:00 PM",APPROVED,
Asana Focus & Flow Summit,"Jun 09, 2021 05:00 PM - Jun 09, 2021 06:00 PM",APPROVED,https://asa.na/7e6
