Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Leading with a Growth Mindset,"<p>As a leader, developing a growth mindset is key to your success. The way you overcome challenges, build relationships, and cultivate a positive culture all stems from your mental agility. In this course, instructor Karen Allen shows you how to strengthen your greatest asset: your mindset. As she explains, your mindset is how you see life and forms the basis for how you live and treat others. Karen illustrates how leaders who operate with a growth mindset create a thriving work environment that fosters more innovation, collaboration, and compassion. Throughout the course, she shows how to focus your mindset to make your brain stronger, and gives you the skills and techniques to help you build a growth mindset to improve your communication, develop other members of your team, and build a culture of trust. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/succeeding-as-a-mid-career-manager-professional-certificate-by-linkedin-learning-24764049"" target=""_blank"">Professional Certificate</a> from LinkedIn Learning.</p>",Course,2021-08-18 20:49 UTC,N/A,true,N/A,
Presentation Tips for Pitching to Investors,"Landing a meeting with investors is a big opportunity—and a key test of your business. Investors ask tough questions. The answers can define your future. This course is all about preparing and delivering a rock-solid pitch that makes people want to invest in your company. Learn how to define the unique benefits of your product, describe your business model, and tell the story of your “why.” Instructor Jessica Chen—a public speaking and media relations consultant—then introduces tips for the actual presentation, including responding to your audience, answering questions, and being authentic. She leaves you with a final pitch checklist that will ensure you have all the elements of your pitch nailed down before the big day.",Course,2021-07-31 21:30 UTC,N/A,false,N/A,
"Diversity, Inclusion, and Belonging","<p>Diversity is having a culture that values uniqueness: people of different backgrounds, cultures, genders, and races. Inclusion means inviting diverse groups to take part in company life. If you're tuned into conversations about HR, you've probably heard these terms before. But there's a third critical piece: belonging. It's belonging that makes each individual feel accepted for who they are. Explore the diversity, inclusion, and belonging (DIB) approach, and discover how to activate it in your organization. Join HR luminary Pat Wadors as she explains how to drive the conversation on DIBs, hire and retain diverse talent, listen to employees, and integrate DIBs into your employee lifecycle. Managers and executives should tune in for special tips on embedding DIBs in the employee experience.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/succeeding-as-a-new-manager-professional-certificate-by-linkedin-learning?u=104"" target=""_blank"">Professional Certificate</a> from LinkedIn Learning.</p>",Course,2021-09-12 18:14 UTC,N/A,false,N/A,
Creating a Product-Centric Organization,"A lot of companies begin with the success of their first product. And a slew of factors—from good timing to opportune professional connections—can help a company take off. But to achieve staying power, companies must continue to create innovative products that customers love. In this course, instructor Jay Clouse shares strategies that can help you cultivate a product-centric organization by fine-tuning how you organize people, implement processes, and create your company's culture. Learn how to construct effective product teams, inspire your colleagues by creating a strong product vision and strategy, build a data-driven culture, measure your performance using key performance indicators, and more.",Course,2021-07-29 18:52 UTC,N/A,true,N/A,
Empathy for Sales Professionals,"Empathy is a key skill for creating deeper connections and relationships—the building blocks of sales. With empathy, salespeople can achieve a deeper understanding of what prospects are going through and connect better with existing customers. In this course, workforce innovation specialist Sophie Wade quantifies the effect of empathy on sales and shows sales leaders how to incorporate empathy into the management and training of sales teams. Learn how to use empathy to distribute responsibility and improve team performance, and help your reps deepen customer relationships and increase sales. Sophie also shows how to improve empathy on a division-wide level by creating conditions that help an open-minded, empathetic organization thrive.",Course,2021-08-23 18:52 UTC,N/A,false,N/A,
Executive Presence on Video Conference Calls,"Learn how to shine on video conference calls. Communication consultant Jessica Chen provides expert advice to look and sound confident, collected, and smart on your next conference call or video presentation. Discover how to prepare your material, how to contribute to the call, and how to incorporate engaging visuals. Get body language, posture, and wardrobe tips to make a powerful impression. Finally, learn the technical details to building a mini ""studio"" for conducting calls, including choosing a webcam, lighting yourself, and placing a microphone for quality sound. <br><br>Note: This course was featured in <i>Market Watch</i>, <i>Inc.</i>, <i>Fortune</i>, <i>Forbes</i>, and <i>Entrepreneur</i>.",Course,N/A,N/A,true,N/A,
Stepping Up Your Webcam Video Presence,"Nearly everyone has a webcam, but many people don’t put the effort into enhancing their webcam video presence. But with just a few relatively easy and inexpensive tweaks, you can capture well-composed, well-lit shots with great audio using the humble webcam. In this course, senior staff instructor Ashley Kennedy shows you how to represent your best self in meetings, as well as presentations, trainings, vlogs, interviews, demos, Q&As, and other types of web videos. Learn basic strategies for optimizing your system and your webcam, staging and lighting your shot, capturing high-quality audio, scripting and rehearsing for big-stakes webcam presentations, and more.",Course,2021-07-30 17:53 UTC,N/A,false,N/A,
Critical Thinking for Better Judgment and Decision-Making,"The pace of change and volume of information we encounter in daily life make it hard to think through decisions. Instead, people often rely on biases and rules of thumb, which trap them into drawing faulty conclusions. The most successful teams use critical thinking—objective and rational analysis—to illuminate the wisest conclusions. This course prepares leaders to hone the critical thinking skills of their entire organization. Learn how to upgrade critical thinking to avoid deceiving fallacies, spot misleading cognitive biases, craft better arguments, hone judgment, and improve decision-making. Instructor Becki Saltzman teaches skills that will improve how your company or team innovates, tackles challenges, and responds to change.",Course,2021-08-09 14:07 UTC,N/A,false,N/A,
Understanding the Impact of Deepfake Videos,"Imagine not being able to trust what you see or hear when you watch a video online. Deepfakes are manipulated media—video or audio—where a person has been replaced with someone else's likeness and made to appear as if they said or did something that never happened. Deepfake videos use artificial intelligence and can appear very convincing, even to a trained eye. When used to mislead audiences, deepfake videos can be disastrous. However, they can have useful benefits too—like offering AI-assisted video reshoots. In this introductory course, senior staff instructor Ashley Kennedy offers a useful introduction to the dangers and benefits of deepfake videos. She also provides a high-level overview of deepfake technology and puts forward some tools to identify deepfake videos, as well as suggestions for what to do when you suspect or spot a deepfake video.",Course,2021-11-19 05:35 UTC,N/A,false,N/A,
Guy Kawasaki on Turning Life Wisdom into Business Success,"Get career advice from a real ""wise guy."" In this course, based on his book <i>Wise Guy</i>, one of the world's leading corporate evangelists, Guy Kawasaki, talks about how he built his career. Learn how he landed his first real job in the jewelry business—which turned out to be surprisingly useful training for the tech world. Find out why some of the riskiest moves he made at Apple—disparaging a potential partner and trading jabs with Steve Jobs—paid off. Guy also reveals how taking up surfing at the age of 62 sparked a new passion. In total, Guy covers everything from moral values to business skills to parenting. As he writes, “I hope my stories help you live a more joyous, productive, and meaningful life. If <i>Wise Guy</i> succeeds at this, then that’s the best story of all.”<br><br>

This course was created by <a href=""https://genconnectu.com/"" target=""_blank"">genconnectU</a>. We are pleased to offer this training in our library.",Course,2021-05-13 23:23 UTC,N/A,false,N/A,
